Object,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
ActiveReeferParameters,airExchangeUnit,string,,,,MQH,"Unit in which the `airExchangeValue` is expressed:
- `MQH` (Cubic metre per hour)
- `FQH` (Cubic foot per hour)",
ActiveReeferParameters,airExchangeValue,number,,,,15.4,"Air exchange rate expressed in `airExchangeUnit`",
ActiveReeferParameters,ambientTemperatureValue,number,,,,-15,"Ambient temperature value expressed in `temperatureUnit`",
ActiveReeferParameters,co2Percentage,number,,,,25,"CO<sub>2</sub> percentage",
ActiveReeferParameters,humidityPercentage,number,,,,50,"Humidity percentage",
ActiveReeferParameters,isBulbMode,boolean,,,,true,"Flag indicating whether bulb mode is active",
ActiveReeferParameters,isColdTreatmentRequired,boolean,,,,true,"Flag indicating whether cargo cold treatment is required prior to loading at origin,
or during transit but prior arrival at POD.",
ActiveReeferParameters,"isControlledAtmosphereRequired",boolean,,,,true,"Flag indicating whether controlled atmosphere is required",
ActiveReeferParameters,isDrainholesOpen,boolean,,,,true,"Flag indicating whether drainholes are open",
ActiveReeferParameters,isVentilationOpen,boolean,,,,true,"Flag indicating whether the ventilation orifice is open",
ActiveReeferParameters,o2Percentage,number,,,,25,"O<sub>2</sub> percentage",
ActiveReeferParameters,temperatureUnit,string,,,,CEL,"Unit in which the `temperatureValue` and `ambientTemperatureValue` are expressed:
- `CEL` (Celsius)
- `FAH` (Fahrenheit)",
ActiveReeferParameters,temperatureValue,number,,,,-15,"Internal temperature value expressed in `temperatureUnit`",
Address,city,string,,maxLength=35,,Amsterdam,"The name of the city.",
Address,countryCode,string,,maxLength=2,,NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
Address,floor,string,,maxLength=50,,N/A,"The floor of the street number.",
Address,POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered.",
Address,postCode,string,,maxLength=10,,"1047 HM","The post code of the address.",
Address,stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
Address,street,string,,maxLength=70,,Ruijggoordweg,"The name of the street.",
Address,streetNumber,string,,maxLength=50,,100,"The number of the street.",
ClassifiedDateTime,classifier,string,,maxLength=10,,EST,"Classifier denoting whether an event is planned, estimated or actual
- `PLN` - Planned
- `EST` - Estimated
- `ACT` - Actual",
ClassifiedDateTime,value,"string(date-time)",,maxLength=30,,2025-01-23T01:23:45Z,"Timestamp representation [in RFC 3339 format](https://swagger.io/docs/specification/v3_0/data-models/data-types/#strings)",
DocumentReference,reference,string,,maxLength=100,,123e4567e89b,"Reference identifying the document",
DocumentReference,typeCode,string,,,,BKG,"Code used to denote the type of a document
- `AMF` - Advance Manifest Filing (of any subtype)
- `ARN` - Arrival Notice
- `BKG` - Booking
- `CAS` - Cargo Survey
- `CBR` - Carrier Booking Request
- `CEA` - Certificate of Analysis
- `CEO` - Certificate of Origin
- `CQU` - Contract Quotation
- `CRO` - Container Release Order
- `CUC` - Customs Clearance
- `DEI` - Delivery Instructions
- `DEO` - Delivery Order
- `DGD` - Dangerous Goods Declaration
- `FCE` - Fumigation Certificate
- `HCE` - Health Certificate
- `ICE` - Inspection Certificate
- `INV` - Invoice
- `OOG` - Out of Gauge
- `PCE` - Phytosanitary Certificate
- `PFD` - Proof of Delivery
- `SHI` - Shipping Instruction
- `TRD` - Transport Document
- `TRO` - Transport Order
- `VCE` - Veterinary Certificate
- `VGM` - Verified Gross Mass",
"DocumentReferenceReplacement",newReferences,"DocumentReference list",,,,,"References of the documents replacing those with the `oldReferences`.",
"DocumentReferenceReplacement",oldReferences,"DocumentReference list",,,,,"References of the documents replaced by those with the `newReferences`.",
EquipmentDetails,emptyIndicatorCode,string,,,,LADEN,"Code to denote whether the equipment is empty or laden.
- `EMPTY` - Empty
- `LADEN` - Laden",
EquipmentDetails,equipmentReference,string,,maxLength=11,,APZU4812090,"The unique identifier for the equipment, which should follow the BIC ISO Container Identification Number where possible.

According to ISO 6346, a container identification code consists of a 4-letter prefix and a 7-digit number
(composed of a 3-letter owner code, a category identifier, a serial number, and a check-digit).

If a container does not comply with ISO 6346, it is suggested to follow
[Recommendation #2: Containers with non-ISO identification](https://smdg.org/documents/smdg-recommendations)
from SMDG.",
EquipmentDetails,ISOEquipmentCode,string,,maxLength=4,,22GP,"Unique code identifying the equipment size and type used to transport commodities.
The code can refer to either the ISO size type (e.g. 22G1) or the ISO type group (e.g. 22GP)
following the [ISO 6346](https://en.wikipedia.org/wiki/ISO_6346) standard.",
EquipmentDetails,movementType,string,,,,EXPORT,"Code used to denote the type of movement
- `IMPORT` - Import movement
- `EXPORT` - Export movement
- `TRANSSHIPMENT` - Transshipment movement",
EquipmentDetails,seals,"Seal list",,,,,,
Event,"documentReferenceReplacements","DocumentReferenceReplacement list",,,,,"List of document replacements related to this event",
Event,documentReferences,"DocumentReference list",,,,,"List of documents related to this event",
Event,equipmentDetails,EquipmentDetails,,,,,"Equipment-specific details",
Event,eventClassification,EventClassification,,,,,"Type, subtype and classifier of an event",
Event,eventDateTime,"string(date-time)",,maxLength=30,,2025-01-23T01:23:45Z,"The date and time when the real-world event has occurred or will occur.",
Event,eventID,string,,maxLength=500,,"event-HHL71800000-APZU4812090-IoT-DRO-2025-01-23T01:23:45Z","ID of the event, unique among all the events published by a T&T event publisher.

An event overrides any other event that has the same `eventID` and an earlier `eventUpdatedDateTime`.

Each event is uniquely identified within each T&T 3.x standard ecosystem of connected implementers
by a composite key including:
- `eventRouting.originatingParty.partyCode`
- `eventRouting.originatingParty.codeListProvider`
- `eventRouting.originatingParty.codeListName`
- `eventID`",
Event,eventLocation,Location,,,,,"The location of the event.",
Event,eventRouting,EventRouting,,,,,"Routing of an event from the originating party, via forwarding parties, to the destination party.",
Event,eventUpdatedDateTime,"string(date-time)",,maxLength=30,,2025-01-23T01:23:45Z,"The date and time when the technical event was last updated.",
Event,iotDetails,IotDetails,,,,,"IoT-specific details",
Event,isRetracted,boolean,,,,,"Flag indicating that the event is retracted.

The data in this and all previously transmitted events with the same `eventID` must be discarded or ignored.

If this flag is set, any event data other than the `eventID` is irrelevant (if present).",
Event,reeferDetails,ReeferDetails,,,,,"Reefer-specific details",
Event,shipmentDetails,ShipmentDetails,,,,,"Shipment-specific details",
Event,shipmentLocationType,string,,,,PRE,"Code used to denote the type of a shipment location
- `PRE` - Place of Receipt
- `POL` - Port of Loading
- `POD` - Port of Discharge
- `PDE` - Place of Delivery
- `PCF` - Pre-carriage From
- `OIR` - Onward Inland Routing
- `ORI` - Origin of goods
- `IEL` - Container intermediate export stop-off location
- `PTP` - Prohibited transshipment port
- `RTP` - Requested transshipment port
- `FCD` - Full container drop-off location",
Event,"shipmentReferenceReplacements","ShipmentReferenceReplacement list",,,,,"List of shipment reference replacements related to this event",
Event,shipmentReferences,"ShipmentReference list",,,,,"List of shipment references related to this event",
Event,transportDetails,TransportDetails,,,,,"Transport-specific details",
